Key,English,简体中文,繁體中文
app.footer,{{appName}} v{{version}} - All rights reserved,{{appName}} v{{version}} - 保留所有权利,
app.title,Welcome to {{appName}},欢迎使用{{appName}},
app.version,Version {{version}},版本 {{version}},
common.cancel,Cancel,取消,取消
common.confirm,Confirm,确认,確認
common.error,Error,错误,錯誤
common.loading,Loading...,加载中...,載入中...
common.success,Success,成功,成功
date.一,一,一,
date.三,三,三,
date.二,二,二,
date.五,五,五,
date.六,六,六,
date.四,四,四,
date.日,日,日,
navigation.analysis,Analysis,分析,分析
navigation.backstage,BackStage,后台,後台
navigation.home,Home,首页,首頁
theme.,,,
theme.dark,Dark,深色,深色
theme.language,Language,语言,语言
theme.light,Light,浅色,浅色
theme.wallpaper,Wallpaper,背景图,背景图
user.greeting,"Hello, {{name}}!",你好，{{name}}！,
user.lastLogin,Last login: {{date}},上次登录：{{date}},
user.profile,{{name}}'s Profile,{{name}}的个人资料,
user.stats,You have {{count}} messages,您有{{count}}条消息,
welcome,Welcome to the Home Page,欢迎来到主页,歡迎來到主頁
